Rank,Food Name,Serving,folate-b9 amount,Percent DV,Source
168,"Peanut spread, reduced sugar",100 grams,144mcg,(36% DV),Standard Release
169,"Mothbeans, mature seeds, cooked, boiled, without salt",100 grams,143mcg,(36% DV),Standard Release
170,"Mothbeans, mature seeds, cooked, boiled, with salt",100 grams,143mcg,(36% DV),Standard Release
171,"Cowpeas, catjang, mature seeds, cooked, boiled, with salt",100 grams,142mcg,(36% DV),Standard Release
172,"Nuts, formulated, wheat-based, unflavored, with salt added",100 grams,142mcg,(36% DV),Standard Release
173,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",100 grams,141mcg,(35% DV),Standard Release
174,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, with salt",100 grams,141mcg,(35% DV),Standard Release
175,"Beans, navy, mature seeds, cooked, boiled, with salt",100 grams,140mcg,(35% DV),Standard Release
176,"Mustard greens, frozen, unprepared",100 grams,138mcg,(35% DV),Standard Release
177,"Beans, small white, mature seeds, cooked, boiled, with salt",100 grams,137mcg,(34% DV),Standard Release
178,"Wheat flour, white, tortilla mix, enriched",100 grams,136mcg,(34% DV),Standard Release
179,"Asparagus, frozen, cooked, boiled, drained, with salt",100 grams,135mcg,(34% DV),Standard Release
180,"Asparagus, frozen, cooked, boiled, drained, without salt",100 grams,135mcg,(34% DV),Standard Release
181,"Peanut flour, low fat",100 grams,133mcg,(33% DV),Standard Release
182,"Beans, navy, mature seeds, sprouted, raw",100 grams,132mcg,(33% DV),Standard Release
183,"Beans, kidney, all types, mature seeds, cooked, boiled, with salt",100 grams,130mcg,(33% DV),Standard Release
184,"Beans, kidney, red, mature seeds, cooked, boiled, with salt",100 grams,130mcg,(33% DV),Standard Release
185,"Balsam-pear (bitter gourd), leafy tips, raw",100 grams,128mcg,(32% DV),Standard Release
186,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, with salt",100 grams,127mcg,(32% DV),Standard Release
187,"Bacon bits, meatless",100 grams,127mcg,(32% DV),Standard Release
188,"Soybeans, mature seeds, sprouted, cooked, stir-fried, with salt",100 grams,127mcg,(32% DV),Standard Release
189,"Artichokes, (globe or french), frozen, unprepared",100 grams,126mcg,(32% DV),Standard Release
190,"Taro leaves, raw",100 grams,126mcg,(32% DV),Standard Release
191,"Peanuts, valencia, oil-roasted, without salt",100 grams,126mcg,(32% DV),Standard Release
192,"Peanuts, spanish, oil-roasted, without salt",100 grams,126mcg,(32% DV),Standard Release
193,"Peanuts, valencia, oil-roasted, with salt",100 grams,126mcg,(32% DV),Standard Release
194,"Peanuts, spanish, oil-roasted, with salt",100 grams,126mcg,(32% DV),Standard Release
195,"Veal, variety meats and by-products, liver, raw",100 grams,125mcg,(31% DV),Standard Release
196,"Noodles, chinese, chow mein",100 grams,125mcg,(31% DV),Standard Release
197,"Nuts, formulated, wheat-based, all flavors except macadamia, without salt",100 grams,125mcg,(31% DV),Standard Release
198,"Peanuts, virginia, oil-roasted, with salt",100 grams,125mcg,(31% DV),Standard Release
199,"Peanuts, virginia, oil-roasted, without salt",100 grams,125mcg,(31% DV),Standard Release
200,"Egg substitute, powder",100 grams,125mcg,(31% DV),Standard Release
