Rank,Food Name,Serving,vitamin-b12 amount,Percent DV,Source
147,"Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",100 grams,5.7mcg,(238% DV),Standard Release
148,"Beef, variety meats and by-products, spleen, raw",100 grams,5.7mcg,(237% DV),Standard Release
149,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, all grades, raw",100 grams,5.6mcg,(231% DV),Standard Release
150,"Lamb, variety meats and by-products, pancreas, cooked, braised",100 grams,5.5mcg,(231% DV),Standard Release
151,"Thuringer, cervelat, summer sausage, beef, pork",100 grams,5.5mcg,(229% DV),Standard Release
152,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, choice, raw",100 grams,5.5mcg,(228% DV),Standard Release
153,"Egg, duck, whole, fresh, raw",100 grams,5.4mcg,(225% DV),Standard Release
154,"Ostrich, inside strip, raw",100 grams,5.4mcg,(225% DV),Standard Release
155,"Beef, round, knuckle, tip center, steak, separable lean and fat, trimmed to 0"" fat, select, raw",100 grams,5.4mcg,(225% DV),Standard Release
156,"Fish, bluefish, raw",100 grams,5.4mcg,(225% DV),Standard Release
157,"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",100 grams,5.4mcg,(223% DV),Standard Release
158,"Veal, variety meats and by-products, spleen, raw",100 grams,5.3mcg,(223% DV),Standard Release
159,"Lamb, variety meats and by-products, spleen, raw",100 grams,5.3mcg,(223% DV),Standard Release
160,"Ostrich, outside strip, raw",100 grams,5.3mcg,(222% DV),Standard Release
161,"Veal, variety meats and by-products, tongue, cooked, braised",100 grams,5.3mcg,(221% DV),Standard Release
162,"Lamb, variety meats and by-products, spleen, cooked, braised",100 grams,5.3mcg,(220% DV),Standard Release
163,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",100 grams,5.3mcg,(220% DV),Standard Release
164,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, all grades, raw",100 grams,5.3mcg,(219% DV),Standard Release
165,"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, select, raw",100 grams,5.2mcg,(218% DV),Standard Release
166,"Lamb, New Zealand, imported, tongue - swiss cut, cooked, soaked and simmered",100 grams,5.2mcg,(218% DV),Standard Release
167,"Ostrich, outside leg, raw",100 grams,5.2mcg,(217% DV),Standard Release
168,"Beef, New Zealand, imported, variety meats and by-products, tongue, raw",100 grams,5.2mcg,(216% DV),Standard Release
169,"Beef, loin, tenderloin steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",100 grams,5.2mcg,(216% DV),Standard Release
170,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, select, raw",100 grams,5.2mcg,(215% DV),Standard Release
171,"Beef, chuck, shoulder clod, shoulder tender, medallion, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",100 grams,5.2mcg,(215% DV),Standard Release
172,"Beef, cured, luncheon meat, jellied",100 grams,5.1mcg,(214% DV),Standard Release
173,"Chicken, meatless, breaded, fried",100 grams,5.1mcg,(213% DV),Standard Release
174,"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",100 grams,5.1mcg,(213% DV),Standard Release
175,"Egg, yolk, dried",100 grams,5.1mcg,(213% DV),Standard Release
176,"Ostrich, inside leg, raw",100 grams,5.1mcg,(213% DV),Standard Release
